Date, MaxTemperature, MinTemperature, AvgTemperature, AvgTemperatureDeparture, Precipitation, Snowfall
1/1/1919,56,29,42.5,19.6,0.27,0
1/2/1919,29,19,24,2.2,0.01, T
1/3/1919,19,5,12,-11.7, T,0.1
1/4/1919,16,5,10.5,-14.6, T, T
1/5/1919,21,9,15,-12,0,0
1/6/1919,28,12,20,-9.4,0.01,0.1
1/7/1919,39,28,33.5,6.7,0.04,0.1
1/8/1919,33,28,30.5, M,0.01, T
1/9/1919,29,14,21.5, M,0.06,0.6
1/10/1919,38,12,25,-3.7,0,0
1/11/1919,31,17,24,2.4, T, T
1/12/1919,37,14,25.5,0.4,0,0
1/13/1919,47,32,39.5,13.5,0,0
1/14/1919,43,31,37,12.5, T,0
1/15/1919,35,30,32.5,5.5,0,0
1/16/1919,47,30,38.5,12,0,0
1/17/1919,45,36,40.5,17, T,0
1/18/1919,48,35,41.5,11, T,0
1/19/1919,38,32,35,6.5,0,0
1/20/1919,56,31,43.5,16,0,0
1/21/1919,54,40,47,15,0,0
1/22/1919,55,44,49.5,22, T,0
1/23/1919,51,33,42, M,0.19,0
1/24/1919,35,32,33.5,3.4,0,0
1/25/1919,50,28,39,11.3,0,0
1/26/1919,43,33,38,13.3,0,0
1/27/1919,46,35,40.5,16.2,0,0
1/28/1919,42,30,36,12.7, T,0
1/29/1919,31,27,29,5.1,0.04,0.4
1/30/1919,38,25,31.5,6.5,0,0
1/31/1919,35,27,31,8.5,0,0
2/1/1919,26,23,24.5,-0.6, T, T
2/2/1919,35,23,29,0.8,0,0
2/3/1919,46,30,38,12.2,0,0
2/4/1919,46,25,35.5,8.6,0.01,0
2/5/1919,28,21,24.5,0.5, T, T
2/6/1919,29,21,25,-3.1,0,0
2/7/1919,32,21,26.5,-1.8,0.02,0.1
2/8/1919,30,19,24.5,-4.9,0.09,1
2/9/1919,23,20,21.5,-10,0.12,1.2
2/10/1919,25,17,21,-12.7,0.04,0.4
2/11/1919,34,17,25.5,-6.3,0.02,0.1
2/12/1919,44,33,38.5,13.5,0,0.1
2/13/1919,46,36,41,11.3, T,0
2/14/1919,48,36,42,13.6,0.04,0
2/15/1919,36,28,32,5.5,0.04,0.1
2/16/1919,29,23,26,-0.7,0.01,0.1
2/17/1919,33,28,30.5, M,0.06,0.5
2/18/1919,30,26,28,0.4, T, T
2/19/1919,29,24,26.5,-7.4,0,0
2/20/1919,39,21,30,-0.6, T,0
2/21/1919,40,34,37,7.7,0.14, T
2/22/1919,51,38,44.5,13.9,0.15,0
2/23/1919,38,33,35.5,11.7, T,0
2/24/1919,43,31,37,6.4,0,0
2/25/1919,47,22,34.5,8.1,0.05,0.4
2/26/1919,25,17,21,-6.6,0.03,0.3
2/27/1919,44,24,34,2.1,0, T
2/28/1919,61,26,43.5,16.8,0.29,0
3/1/1919,28,18,23,4, T, T
3/2/1919,37,25,31,1.7,0,0
3/3/1919,49,32,40.5,7.4,0,0
3/4/1919,65,33,49,20.6,0,0
3/5/1919,33,22,27.5,9.7,0.12,0.5
3/6/1919,24,21,22.5,-8.6,0.03,0.3
3/7/1919,27,23,25,-8, T, T
3/8/1919,41,24,32.5,-2.8,0.17, T
3/9/1919,49,31,40,5.8,0.13,0.1
3/10/1919,48,31,39.5,6.5,0.04, T
3/11/1919,36,32,34,3.6,0.01,0
3/12/1919,54,32,43,4.7,0,0
3/13/1919,45,28,36.5,9.4,0,0
3/14/1919,42,27,34.5,-1,0,0
3/15/1919,49,35,42,4.6,0.65,0
3/16/1919,64,46,55,17.2,0.81,0
3/17/1919,65,38,51.5,21.8,0.33,0
3/18/1919,39,33,36,7.4,0,0
3/19/1919,40,30,35,-1.5,0,0
3/20/1919,39,33,36,5.1,0,0
3/21/1919,38,32,35,-2.3,0,0
3/22/1919,36,29,32.5,-5.2,0,0
3/23/1919,39,32,35.5,-4.1,0,0
3/24/1919,42,36,39,-0.5,0,0
3/25/1919,59,34,46.5,7.5,0,0
3/26/1919,67,53,60,17.1,0.17,0
3/27/1919,57,29,43,1.7,0.21,0.3
3/28/1919,35,27,31,-10.7, T, T
3/29/1919,35,32,33.5,-8.6,0,0
3/30/1919,35,28,31.5,-10.5, T, T
3/31/1919,33,26,29.5,-12.9,0,0
4/1/1919,28,23,25.5,-17.9, T, T
4/2/1919,42,26,34,-13.8,0,0
4/3/1919,46,37,41.5,-5.2,0.12,0
4/4/1919,54,46,50,6.4,0,0
4/5/1919,57,37,47,6.5,0,0
4/6/1919,73,47,60,13.6,0.02,0
4/7/1919,74,44,59,17.7,0,0
4/8/1919,69,44,56.5,19.3,0.36,0
4/9/1919,74,39,56.5,13.9,0.12,0
4/10/1919,67,50,58.5,21,0.3,0
4/11/1919,50,44,47,6.6, T,0
4/12/1919,47,43,45,-2.7, T,0
4/13/1919,52,38,45,-0.6, T,0
4/14/1919,49,42,45.5,-2.5,0.05,0
4/15/1919,52,41,46.5,-3.9,0.42,0
4/16/1919,55,43,49,1.8,0.49,0
4/17/1919,45,39,42,-7.6,0.16, T
4/18/1919,46,38,42,-5.5,0.02,0
4/19/1919,62,37,49.5,-3.3,0,0
4/20/1919,61,42,51.5,3.3,0.25,0
4/21/1919,45,41,43,-6,0,0
4/22/1919,68,44,56,-1.3,0,0
4/23/1919,70,45,57.5,3.8,0.37,0
4/24/1919,49,30,39.5,-5.5,0.02, T
4/25/1919,39,28,33.5,-18.3, T, T
