Date, MaxTemperature, MinTemperature, AvgTemperature, AvgTemperatureDeparture, Precipitation, Snowfall
1/1/1919,57,37,47,-10.6,0, M
1/2/1919,59,36,47.5,-10.1,0, M
1/3/1919,70,41,55.5,-2.1,0, M
1/4/1919,77,43,60,2.3,0, M
1/5/1919,79,55,67,9.3,0, M
1/6/1919,74,52,63,5.2,0, M
1/7/1919,78,51,64.5,6.7,0, M
1/8/1919,76,55,65.5,7.7,0, M
1/9/1919,77,58,67.5,9.6,0, M
1/10/1919,77,57,67,9.1,0, M
1/11/1919,69,51,60,2.1, T, M
1/12/1919,67,47,57,-1,0, M
1/13/1919,74,49,61.5,3.5,0, M
1/14/1919,72,44,58,0,0, M
1/15/1919,71,49,60,2,0, M
1/16/1919,68,47,57.5,-0.6,0, M
1/17/1919,69,48,58.5,0.4,0, M
1/18/1919,69,49,59,0.9,0, M
1/19/1919,59,53,56,-2.1,0.05, M
1/20/1919,60,51,55.5,-2.6,0.04, M
1/21/1919,67,47,57,-1.1,0, M
1/22/1919,75,51,63,4.8,0, M
1/23/1919,77,55,66,7.8,0, M
1/24/1919,79,51,65,6.8,0, M
1/25/1919,70,49,59.5,1.3,0, M
1/26/1919,72,49,60.5,2.3,0, M
1/27/1919,77,52,64.5,6.3,0, M
1/28/1919,78,52,65,6.8,0, M
1/29/1919,76,56,66,7.7,0, M
1/30/1919,68,54,61,2.7,0.03, M
1/31/1919,57,48,52.5,-5.8,0.84, M
2/1/1919,52,41,46.5,-11.8,0.16, T
2/2/1919,53,42,47.5,-10.9,0.05,0
2/3/1919,59,41,50,-8.4,0,0
2/4/1919,60,43,51.5,-6.9,0,0
2/5/1919,60,48,54,-4.4,0,0
2/6/1919,62,50,56,-2.5,0,0
2/7/1919,62,50,56,-2.5,0,0
2/8/1919,64,49,56.5,-2.1,0,0
2/9/1919,59,52,55.5,-3.1, T,0
2/10/1919,59,52,55.5,-3.2,0.17,0
2/11/1919,59,49,54,-4.7,0.33,0
2/12/1919,64,46,55,-3.8,0,0
2/13/1919,64,45,54.5,-4.3,0,0
2/14/1919,61,47,54,-4.9,0,0
2/15/1919,64,46,55,-3.9,0,0
2/16/1919,73,49,61,2,0,0
2/17/1919,63,49,56,-3,0,0
2/18/1919,64,43,53.5,-5.6,0,0
2/19/1919,63,44,53.5,-5.7,0,0
2/20/1919,59,49,54,-5.2, T,0
2/21/1919,61,44,52.5,-6.8,0,0
2/22/1919,56,46,51,-8.4,0.03,0
2/23/1919,56,46,51,-8.4,0.07,0
2/24/1919,65,45,55,-4.5,0,0
2/25/1919,67,43,55,-4.6,0,0
2/26/1919,58,44,51,-8.6,0.21,0
2/27/1919,65,47,56,-3.7,0,0
2/28/1919,59,45,52,-7.8,0,0
3/1/1919,62,47,54.5,-5.3,0, M
3/2/1919,60,45,52.5,-7.4, T, M
3/3/1919,60,46,53,-6.9,0.03, M
3/4/1919,69,43,56,-4,0, M
3/5/1919,67,46,56.5,-3.5,0, M
3/6/1919,70,50,60,-0.1,0, M
3/7/1919,68,51,59.5,-0.7,0, M
3/8/1919,69,49,59,-1.2,0, M
3/9/1919,70,43,56.5,-3.8,0, M
3/10/1919,69,44,56.5,-3.8,0, M
3/11/1919,72,50,61,0.6,0, M
3/12/1919,67,45,56,-4.4,0, M
3/13/1919,56,45,50.5,-9.9,0.95, M
3/14/1919,51,42,46.5,-14,0.66, M
3/15/1919,60,40,50,-10.5,0, M
3/16/1919,63,46,54.5,-6.1,0, M
3/17/1919,78,50,64,3.4,0, M
3/18/1919,69,49,59,-1.7,0.01, M
3/19/1919,57,47,52,-8.7,0.34, M
3/20/1919,52,45,48.5,-12.3,0.17, M
3/21/1919,61,44,52.5,-8.3,0, M
3/22/1919,61,44,52.5,-8.4,0.02, M
3/23/1919,63,47,55,-5.9,0, M
3/24/1919,61,51,56,-5,0, M
3/25/1919,63,51,57,-4,0, M
3/26/1919,59,51,55,-6.1,0, M
3/27/1919,64,50,57,-4.2,0, M
3/28/1919,62,52,57,-4.2,0, M
3/29/1919,65,52,58.5,-2.8,0, M
3/30/1919,66,53,59.5,-1.9,0, M
3/31/1919,70,48,59,-2.5,0, M
4/1/1919,73,48,60.5,-1,0, M
4/2/1919,68,51,59.5,-2.1,0, M
4/3/1919,69,52,60.5,-1.2,0, M
4/4/1919,67,52,59.5,-2.3,0, M
4/5/1919,67,52,59.5,-2.4,0, M
4/6/1919,70,52,61,-1,0, M
4/7/1919,68,54,61,-1.1,0, M
4/8/1919,69,50,59.5,-2.7,0, M
4/9/1919,69,51,60,-2.3,0, M
4/10/1919,73,51,62,-0.4,0, M
4/11/1919,75,53,64,1.5,0, M
4/12/1919,70,52,61,-1.7,0, M
4/13/1919,70,53,61.5,-1.3,0, M
4/14/1919,77,53,65,2.1,0, M
4/15/1919,82,56,69,6,0, M
4/16/1919,81,58,69.5,6.4,0, M
4/17/1919,70,52,61,-2.3,0, M
4/18/1919,73,52,62.5,-0.9,0, M
4/19/1919,69,54,61.5,-2,0, M
4/20/1919,71,52,61.5,-2.1,0, M
4/21/1919,70,50,60,-3.8,0, M
4/22/1919,72,53,62.5,-1.4,0, M
4/23/1919,65,54,59.5,-4.5,0, M
4/24/1919,65,53,59,-5.1,0, M
4/25/1919,63,50,56.5,-7.7,0, M
4/26/1919,57,49,53,-11.3,0.17, M
4/27/1919,61,49,55,-9.4,0, M
4/28/1919,66,53,59.5,-5,0, M
4/29/1919,67,52,59.5,-5.1,0, M
4/30/1919,68,54,61,-3.7,0, M
5/1/1919,67,53,60,-4.8,0, M
5/2/1919,60,54,57,-7.9,0, M
5/3/1919,63,54,58.5,-6.5,0.02, M
5/4/1919,64,53,58.5,-6.6,0, M
5/5/1919,62,53,57.5,-7.7,0, M
5/6/1919,64,50,57,-8.2,0, M
5/7/1919,62,53,57.5,-7.8,0, M
5/8/1919,67,55,61,-4.4,0, M
5/9/1919,68,53,60.5,-4.9,0, M
5/10/1919,69,54,61.5,-4,0, M
5/11/1919,74,54,64,-1.5,0, M
5/12/1919,72,54,63,-2.6,0, M
5/13/1919,72,55,63.5,-2.2,0, M
5/14/1919,70,55,62.5,-3.2,0, M
5/15/1919,68,55,61.5,-4.3,0, M
5/16/1919,68,54,61,-4.8,0, M
5/17/1919,72,54,63,-2.8,0, M
5/18/1919,68,55,61.5,-4.4,0, M
5/19/1919,66,55,60.5,-5.4,0, M
5/20/1919,70,56,63,-3,0, M
5/21/1919,67,56,61.5,-4.5,0.13, M
5/22/1919,63,56,59.5,-6.6,0.03, M
5/23/1919,67,54,60.5,-5.7,0, M
5/24/1919,67,56,61.5,-4.7,0, M
5/25/1919,70,57,63.5,-2.8,0, M
5/26/1919,75,56,65.5,-0.9,0, M
5/27/1919,76,59,67.5,1.1,0, M
5/28/1919,71,60,65.5,-1,0.01, M
5/29/1919,71,59,65,-1.6,0, M
5/30/1919,70,58,64,-2.7,0, M
5/31/1919,70,58,64,-2.8,0, M
6/1/1919,81,56,68.5,1.6,0, M
6/2/1919,95,64,79.5,12.5,0, M
6/3/1919,96,65,80.5,13.4,0, M
6/4/1919,87,59,73,5.8,0, M
6/5/1919,81,56,68.5,1.1,0, M
6/6/1919,71,56,63.5,-4,0, M
6/7/1919,71,57,64,-3.7,0, M
6/8/1919,73,57,65,-2.8,0, M
6/9/1919,73,58,65.5,-2.5,0, M
6/10/1919,73,59,66,-2.1,0, M
6/11/1919,70,57,63.5,-4.8,0, M
6/12/1919,70,54,62,-6.5,0, M
6/13/1919,74,53,63.5,-5.1,0, M
6/14/1919,75,55,65,-3.8,0, M
6/15/1919,74,55,64.5,-4.5,0, M
