Date, MaxTemperature, MinTemperature, AvgTemperature, AvgTemperatureDeparture, Precipitation, Snowfall
1/1/1919,61,44,52.5,16.5,0.47,0
1/2/1919,59,39,49,13.1,0.99,0
1/3/1919,39,32,35.5,-0.3,0.52,0
1/4/1919,32,19,25.5,-10.2, T, T
1/5/1919,27,15,21,-14.7,0,0
1/6/1919,30,20,25,-10.6,0.02,0.2
1/7/1919,38,24,31,-4.5,0,0
1/8/1919,45,32,38.5,3,0.04,0.3
1/9/1919,40,19,29.5,-6, T, T
1/10/1919,33,15,24,-11.4, T, T
1/11/1919,44,18,31,-4.4,0,0
1/12/1919,30,13,21.5,-13.9,0,0
1/13/1919,40,22,31,-4.4,0,0
1/14/1919,46,32,39,3.6,0.02,0
1/15/1919,45,35,40,4.6, T,0
1/16/1919,49,29,39,3.5,0,0
1/17/1919,47,35,41,5.5, T,0
1/18/1919,47,37,42,6.5,0.12,0
1/19/1919,48,40,44,8.4, T,0
1/20/1919,45,34,39.5,3.9,0,0
1/21/1919,50,37,43.5,7.8,0,0
1/22/1919,46,38,42,6.3, T,0
1/23/1919,48,42,45,9.2,1.17,0
1/24/1919,49,39,44,8.1,0,0
1/25/1919,50,34,42,6,0,0
1/26/1919,53,40,46.5,10.5,0,0
1/27/1919,54,36,45,8.9,0,0
1/28/1919,50,34,42,5.8,0,0
1/29/1919,42,36,39,2.7,0,0
1/30/1919,45,34,39.5,3.1,0,0
1/31/1919,49,34,41.5,5,0,0
2/1/1919,39,30,34.5,-2.1,0,0
2/2/1919,43,26,34.5,-2.2,0,0
2/3/1919,47,30,38.5,1.7,0,0
2/4/1919,43,35,39,2.1,0.14,0
2/5/1919,43,33,38,1,0,0
2/6/1919,40,29,34.5,-2.7,0,0
2/7/1919,44,30,37,-0.3,0,0
2/8/1919,38,32,35,-2.4,0.05,0.5
2/9/1919,37,26,31.5,-6, T, T
2/10/1919,35,21,28,-9.7,0,0
2/11/1919,39,21,30,-7.8,0,0
2/12/1919,41,30,35.5,-2.4, T, T
2/13/1919,48,33,40.5,2.4,0.26,0
2/14/1919,61,41,51,12.8,0.61,0
2/15/1919,48,39,43.5,5.1,0.1,0
2/16/1919,44,32,38,-0.5,0,0
2/17/1919,41,29,35,-3.7,0,0
2/18/1919,41,31,36,-2.9,0.05,0.5
2/19/1919,40,24,32,-7,0,0
2/20/1919,45,27,36,-3.2,0,0
2/21/1919,38,33,35.5,-3.9,0.18, T
2/22/1919,40,35,37.5,-2.1,0.1,0
2/23/1919,49,38,43.5,3.7,0.42,0
2/24/1919,52,39,45.5,5.5,0,0
2/25/1919,49,36,42.5,2.3,0.86,0
2/26/1919,45,30,37.5,-2.9,0.27,0
2/27/1919,44,27,35.5,-5.1,0,0
2/28/1919,59,33,46,5.2, T,0
3/1/1919,55,41,48,7,0.8,0
3/2/1919,48,34,41,-0.3,0,0
3/3/1919,58,39,48.5,7,0,0
3/4/1919,61,39,50,8.2,0,0
3/5/1919,58,46,52,10,0.36,0
3/6/1919,48,29,38.5,-3.8,0.05,0
3/7/1919,46,32,39,-3.5,0,0
3/8/1919,49,36,42.5,-0.3,0,0
3/9/1919,61,37,49,5.9,0.77,0
3/10/1919,54,40,47,3.6,0,0
3/11/1919,52,38,45,1.4, T,0
3/12/1919,53,34,43.5,-0.4,0,0
3/13/1919,63,37,50,5.8,0,0
3/14/1919,37,25,31,-13.5,0.3,3
3/15/1919,37,30,33.5,-11.3,0.02, T
3/16/1919,43,37,40,-5.1,0.16,0
3/17/1919,73,41,57,11.5,0,0
3/18/1919,59,43,51,5.2,0.37,0
3/19/1919,46,40,43,-3.1,0.17,0
3/20/1919,61,43,52,5.6,0.01,0
3/21/1919,68,49,58.5,11.8,0,0
3/22/1919,53,38,45.5,-1.6,0,0
3/23/1919,62,35,48.5,1.1,0,0
3/24/1919,62,43,52.5,4.8,0,0
3/25/1919,61,41,51,2.9,0,0
3/26/1919,66,42,54,5.6,0,0
3/27/1919,63,36,49.5,0.8,1.78,0
3/28/1919,40,30,35,-14.1,0.02, T
3/29/1919,43,31,37,-12.4, T, T
3/30/1919,50,32,41,-8.7,0,0
3/31/1919,45,24,34.5,-15.6,0,0
4/1/1919,39,24,31.5,-18.9, T, T
4/2/1919,48,25,36.5,-14.3,0,0
4/3/1919,58,37,47.5,-3.6,0,0
4/4/1919,67,46,56.5,5.1,0.01,0
4/5/1919,55,48,51.5,-0.3,0.31,0
4/6/1919,65,48,56.5,4.4,0,0
4/7/1919,77,44,60.5,8.1,0,0
4/8/1919,70,50,60,7.2, T,0
4/9/1919,63,43,53,-0.1,0,0
4/10/1919,61,42,51.5,-1.9,0,0
4/11/1919,71,55,63,9.2,1.03,0
4/12/1919,63,54,58.5,4.4,0.04,0
4/13/1919,61,46,53.5,-0.9,0,0
4/14/1919,64,44,54,-0.7,0,0
4/15/1919,56,44,50,-5.1,0.04,0
4/16/1919,53,44,48.5,-6.9,1.59,0
4/17/1919,56,44,50,-5.7,0.02,0
4/18/1919,58,44,51,-5, T,0
4/19/1919,62,43,52.5,-3.9,0,0
4/20/1919,70,46,58,1.3,0,0
4/21/1919,67,53,60,3,0,0
4/22/1919,66,45,55.5,-1.8,0,0
4/23/1919,72,46,59,1.4,0,0
4/24/1919,70,38,54,-4,0.13,0
4/25/1919,45,34,39.5,-18.8, T, T
4/26/1919,49,35,42,-16.6,0,0
4/27/1919,66,41,53.5,-5.4,0,0
4/28/1919,68,45,56.5,-2.7, T,0
4/29/1919,60,48,54,-5.6,0,0
4/30/1919,64,44,54,-5.9,0,0
5/1/1919,58,46,52,-8.2,0.92,0
5/2/1919,70,53,61.5,1,0,0
5/3/1919,74,54,64,3.1,0,0
