Date, MaxTemperature, MinTemperature, AvgTemperature, AvgTemperatureDeparture, Precipitation, Snowfall
1/1/1919,76,60,68,4.9,0,0
1/2/1919,77,63,70,6, T,0
1/3/1919,68,44,56,0,0.17,0
1/4/1919,44,35,39.5,-20.9,0,0
1/5/1919,51,34,42.5,-19.4,0,0
1/6/1919,55,33,44,-19.8,0,0
1/7/1919,66,40,53,-11.8,0,0
1/8/1919,63,55,59,-5.3,1.71,0
1/9/1919,57,46,51.5,-6.3,0,0
1/10/1919,67,44,55.5,-7.3,0,0
1/11/1919,66,47,56.5,-7.3,0,0
1/12/1919,69,44,56.5,-9.8,0,0
1/13/1919,72,54,63,1.7,0,0
1/14/1919,72,52,62,2.2,0,0
1/15/1919,73,52,62.5,-1.8,0,0
1/16/1919,72,56,64,0.1,0,0
1/17/1919,70,62,66,3.6,0.16,0
1/18/1919,62,52,57,-2.5,0,0
1/19/1919,66,48,57,-6,0,0
1/20/1919,73,47,60,-5.1,0,0
1/21/1919,75,54,64.5,-0.1,0,0
1/22/1919,76,59,67.5,2.3,0,0
1/23/1919,78,63,70.5,8.3,0.04,0
1/24/1919,76,64,70,9.2,0,0
1/25/1919,78,63,70.5,7.6,0,0
1/26/1919,75,61,68,9,0.21,0
1/27/1919,68,57,62.5,5.9,0,0
1/28/1919,69,54,61.5,-1.7,0,0
1/29/1919,64,52,58,-4.7,0,0
1/30/1919,67,47,57,-7.8,0,0
1/31/1919,59,55,57,-6.9,0.15,0
2/1/1919,68,54,61,-5, T,0
2/2/1919,61,56,58.5,-6.1,1.8,0
2/3/1919,70,57,63.5,-3.3,0.04,0
2/4/1919,72,60,66,2.1,0.39,0
2/5/1919,68,60,64,2.5,0.25,0
2/6/1919,61,54,57.5,-2.1,0.04,0
2/7/1919,63,52,57.5,-6.7,0,0
2/8/1919,69,50,59.5,-7.3,0,0
2/9/1919,72,50,61,-3.5, T,0
2/10/1919,53,40,46.5,-15.1,0,0
2/11/1919,58,38,48,-18.2,0,0
2/12/1919,70,47,58.5,-7.8,0,0
2/13/1919,70,59,64.5,0,0.01,0
2/14/1919,69,61,65,1.4,1.06,0
2/15/1919,64,56,60,-2.7,0,0
2/16/1919,56,47,51.5,-13.4,0,0
2/17/1919,63,43,53,-13.5,0,0
2/18/1919,67,51,59,-14.1, T,0
2/19/1919,70,54,62,-4.3,0,0
2/20/1919,74,62,68,2.6,0,0
2/21/1919,74,64,69,4.5,0.01,0
2/22/1919,77,65,71,5.3,0.49,0
2/23/1919,76,62,69,6.7,0,0
2/24/1919,83,58,70.5,2,0,0
2/25/1919,78,67,72.5,7.4,0,0
2/26/1919,71,55,63,1.3,0.35,0
2/27/1919,76,50,63,-4.4,0,0
2/28/1919,73,64,68.5,2.5,1.54,0
3/1/1919,70,64,67,1.3,0.55,0
3/2/1919,75,65,70,5.2,0.69,0
3/3/1919,79,66,72.5,7.5,1.17,0
3/4/1919,82,61,71.5,4.4,0,0
3/5/1919,81,65,73,4.8,0,0
3/6/1919,80,70,75,9.1,0,0
3/7/1919,81,66,73.5,7,1.58,0
3/8/1919,82,65,73.5,6.8,0.28,0
3/9/1919,80,68,74,8.2,0.03,0
3/10/1919,81,61,71,0,0,0
3/11/1919,81,61,71,3.4,0.14,0
3/12/1919,74,58,66,-0.7,0,0
3/13/1919,79,60,69.5,-1.9,0,0
3/14/1919,76,63,69.5,1.5, T,0
3/15/1919,82,63,72.5,2.4,0.03,0
3/16/1919,81,64,72.5,8.7,0,0
3/17/1919,82,64,73,4.6,0.1,0
3/18/1919,77,62,69.5,0.5,0.03,0
3/19/1919,76,55,65.5,-7.2,0,0
3/20/1919,74,54,64,-7.3,0,0
3/21/1919,76,53,64.5,-8.4,0,0
3/22/1919,78,58,68,-4.1,0,0
3/23/1919,79,58,68.5,-5.2,0,0
3/24/1919,76,52,64,-9.8,0,0
3/25/1919,79,58,68.5,-5,0,0
3/26/1919,80,59,69.5,-1.1,0,0
3/27/1919,73,63,68,-2.2,0.37,0
3/28/1919,70,54,62,-10.9,0,0
3/29/1919,72,49,60.5,-13,0,0
3/30/1919,74,52,63,-10.6,0,0
3/31/1919,72,55,63.5,-10.3,0,0
4/1/1919,68,52,60, M,0,0
4/2/1919,69,46,57.5,-17.5,0,0
4/3/1919,80,51,65.5,-12.7,0,0
4/4/1919,77,62,69.5,0.2,0.15,0
4/5/1919,75,62,68.5,-1, T,0
4/6/1919,83,57,70,-2.6,0,0
4/7/1919,83,66,74.5,4.2,0,0
4/8/1919,87,65,76,1.6,0,0
4/9/1919,84,64,74,0.9,0,0
4/10/1919,81,62,71.5,0.3,0,0
4/11/1919,76,67,71.5,2.1,0.26,0
4/12/1919,80,63,71.5,-3.6,0,0
4/13/1919,85,62,73.5,-2.2,0,0
4/14/1919,86,62,74,-1.9,0,0
4/15/1919,83,69,76,2.4,0,0
4/16/1919,81,68,74.5,2.7,0,0
4/17/1919,74,61,67.5,-3.4, T,0
4/18/1919,74,56,65,-11.1,0,0
4/19/1919,78,53,65.5,-11.3,0,0
4/20/1919,80,56,68,-8,0,0
4/21/1919,78,62,70,-5.2,0,0
4/22/1919,81,61,71,-4.9,0,0
4/23/1919,83,63,73,-3.1,0,0
4/24/1919,82,64,73,-3.3,0,0
4/25/1919,88,69,78.5,3.4, T,0
4/26/1919,86,64,75,-0.3,0,0
4/27/1919,83,58,70.5,-8,0,0
4/28/1919,84,62,73,-5.2,0,0
4/29/1919,86,61,73.5,-3.4,0,0
4/30/1919,80,64,72,-2.7,0,0
5/1/1919,81,67,74,-3.9,0.1,0
5/2/1919,83,67,75,0.4,0.03,0
5/3/1919,87,66,76.5,-0.9,1.59,0
5/4/1919,88,66,77,-0.1,0,0
5/5/1919,88,71,79.5,2.2,0,0
5/6/1919,88,71,79.5,2,0.42,0
5/7/1919,88,70,79,-0.8,0,0
5/8/1919,88,68,78,-1.5, T,0
5/9/1919,84,71,77.5,-0.2, T,0
5/10/1919,83,71,77,-1.9,0,0
5/11/1919,83,68,75.5,-5.7,0,0
5/12/1919,87,69,78,-4.4,0,0
5/13/1919,85,67,76,-4.1,0,0
5/14/1919,84,73,78.5,-1.8,0.05,0
5/15/1919,85,72,78.5,-2,0,0
5/16/1919,86,68,77,-3.7,0,0
